"stim_condition","acc","Response","RT","participant","Subject","Correct","Stimulus","Chanel1","Chanel2"
3,1,"3","1.1188472001813352",31,31,1,3,1,1
1,0,"2","0.45014810003340244",31,31,0,1,0,0
2,0,"3","1.133993199793622",31,31,0,2,0,1
1,1,"1","0.5516188000328839",31,31,1,1,0,0
3,1,"3","0.8674685000441968",31,31,1,3,1,1
3,0,"0","0.31689770007506013",31,31,0,3,1,1
2,1,"2","1.167783600045368",31,31,1,2,0,1
2,0,"3","0.9837031001225114",31,31,0,2,0,1
0,1,"0","0.7171467998996377",31,31,1,0,1,0
1,0,"3","1.668236600002274",31,31,0,1,0,0
0,0,"1","0.19989950000308454",31,31,0,0,1,0
2,0,"0","0.4334522997960448",31,31,0,2,0,1
1,0,"3","1.2179760001599789",31,31,0,1,0,0
3,1,"3","1.4179438999854028",31,31,1,3,1,1
2,0,"3","1.6345907000359148",31,31,0,2,0,1
3,0,"1","1.2339085000567138",31,31,0,3,1,1
1,0,"2","0.9343429000582546",31,31,0,1,0,0
1,0,"0","1.4676858000457287",31,31,0,1,0,0
0,1,"0","0.8671870999969542",31,31,1,0,1,0
2,0,"3","0.9509188998490572",31,31,0,2,0,1
1,1,"1","1.2177750999107957",31,31,1,1,0,0
0,1,"0","1.1691366001032293",31,31,1,0,1,0
2,0,"3","1.18422929989174",31,31,0,2,0,1
3,0,"2","0.500105099985376",31,31,0,3,1,1
2,0,"3","0.7840763998683542",31,31,0,2,0,1
2,0,"1","0.8172400998882949",31,31,0,2,0,1
0,1,"0","0.9676097999326885",31,31,1,0,1,0
0,1,"0","0.950532800052315",31,31,1,0,1,0
0,1,"0","1.152452199952677",31,31,1,0,1,0
3,0,"2","1.334300900110975",31,31,0,3,1,1
0,0,"3","1.3191338998731226",31,31,0,0,1,0
1,0,"2","1.9850749999750406",31,31,0,1,0,0
3,1,"3","0.4838615001644939",31,31,1,3,1,1
1,0,"0","1.0840652999468148",31,31,0,1,0,0
3,1,"3","1.0340170001145452",31,31,1,3,1,1
0,0,"1","0.7504944000393152",31,31,0,0,1,0
3,1,"3","1.3677966999821365",31,31,1,3,1,1
2,0,"1","0.5031304999720305",31,31,0,2,0,1
0,0,"2","0.6339766001328826",31,31,0,0,1,0
0,1,"0","1.3677634000778198",31,31,1,0,1,0
2,0,"1","1.200963599840179",31,31,0,2,0,1
0,0,"1","0.6672298999037594",31,31,0,0,1,0
2,0,"3","0.9008479998447001",31,31,0,2,0,1
1,0,"0","0.7341833999380469",31,31,0,1,0,0
3,0,"1","0.9506140002049506",31,31,0,3,1,1
0,0,"1","1.400732700014487",31,31,0,0,1,0
0,1,"0","0.8671931999269873",31,31,1,0,1,0
1,1,"1","0.7515705002006143",31,31,1,1,0,0
2,0,"0","0.7507805000059307",31,31,0,2,0,1
1,0,"2","0.9015635000541806",31,31,0,1,0,0
1,1,"1","1.301370200002566",31,31,1,1,0,0
0,1,"0","0.968756000045687",31,31,1,0,1,0
1,0,"3","1.3012627998832613",31,31,0,1,0,0
2,1,"2","1.334420199971646",31,31,1,2,0,1
2,0,"3","0.784832599805668",31,31,0,2,0,1
0,0,"1","0.6338476999662817",31,31,0,0,1,0
2,0,"3","0.5855667002033442",31,31,0,2,0,1
0,1,"0","0.4170874999836087",31,31,1,0,1,0
0,0,"2","1.067528999876231",31,31,0,0,1,0
2,0,"1","1.801685200072825",31,31,0,2,0,1
2,0,"0","1.1027255000080913",31,31,0,2,0,1
3,1,"3","0.283316700020805",31,31,1,3,1,1
3,1,"3","1.2514913999475539",31,31,1,3,1,1
3,1,"3","1.6846217999700457",31,31,1,3,1,1
2,0,"1","1.2684497002046555",31,31,0,2,0,1
1,0,"0","0.7338302999269217",31,31,0,1,0,0
3,0,"1","0.7834670001175255",31,31,0,3,1,1
1,0,"0","1.0175540999043733",31,31,0,1,0,0
0,0,"3","0.8170689002145082",31,31,0,0,1,0
3,1,"3","0.9007548000663519",31,31,1,3,1,1
1,0,"0","0.8520502999890596",31,31,0,1,0,0
3,0,"2","0.5843011001124978",31,31,0,3,1,1
3,0,"1","1.3185682001058012",31,31,0,3,1,1
1,0,"0","1.067599599948153",31,31,0,1,0,0
1,0,"3","1.9347277998458594",31,31,0,1,0,0
3,0,"1","0.5671292999759316",31,31,0,3,1,1
3,1,"3","1.0505813001655042",31,31,1,3,1,1
2,0,"0","0.9845249999780208",31,31,0,2,0,1
1,1,"1","0.9841477000154555",31,31,1,1,0,0
1,0,"0","1.2343599000014365",31,31,0,1,0,0
2,0,"1","1.2009729000274092",31,31,0,2,0,1
2,0,"0","1.1343211999628693",31,31,0,2,0,1
0,0,"1","1.2678408999927342",31,31,0,0,1,0
2,0,"0","1.9528995000291616",31,31,0,2,0,1
2,0,"3","0.40007949993014336",31,31,0,2,0,1
2,0,"3","0.8169604002032429",31,31,0,2,0,1
1,0,"3","1.1858026999980211",31,31,0,1,0,0
2,0,"1","1.6347004999406636",31,31,0,2,0,1
3,1,"3","1.1509226001799107",31,31,1,3,1,1
2,0,"1","0.5839085001498461",31,31,0,2,0,1
0,1,"0","1.017622800078243",31,31,1,0,1,0
0,1,"0","1.4679791000671685",31,31,1,0,1,0
1,0,"2","0.9508354000281543",31,31,0,1,0,0
2,0,"1","0.5335841998457909",31,31,0,2,0,1
0,0,"3","1.3847531001083553",31,31,0,0,1,0
1,0,"2","1.76829389994964",31,31,0,1,0,0
3,1,"3","1.417870500124991",31,31,1,3,1,1
2,0,"1","0.9008504000958055",31,31,0,2,0,1
2,0,"0","1.1019669999368489",31,31,0,2,0,1
1,1,"1","1.1509936999063939",31,31,1,1,0,0
1,0,"3","1.251060999929905",31,31,0,1,0,0
0,0,"1","0.9340542000718415",31,31,0,0,1,0
0,1,"0","0.6505879000760615",31,31,1,0,1,0
1,0,"3","1.2176721999421716",31,31,0,1,0,0
0,1,"0","1.0509017000440508",31,31,1,0,1,0
2,0,"3","1.4851644998416305",31,31,0,2,0,1
0,0,"1","1.0507187999319285",31,31,0,0,1,0
1,0,"2","1.13610910018906",31,31,0,1,0,0
0,0,"1","0.6840727999806404",31,31,0,0,1,0
3,1,"3","1.1862095999531448",31,31,1,3,1,1
1,0,"2","1.8349703999701887",31,31,0,1,0,0
