participant_id,stimulus_condition,n_trials,v_left_mean,v_left_std,v_right_mean,v_right_std,drift_diff_mean,drift_diff_std
0.0,0.0,214,2.4031,0.0247,2.4224,0.0266,-0.0193,0.0423
0.0,1.0,271,1.0377,0.0012,2.4237,0.0297,-1.386,0.0296
0.0,2.0,224,1.0377,0.001,1.3667,0.0031,-0.3291,0.0033
0.0,3.0,231,2.4045,0.028,1.366,0.003,1.0385,0.0282
1.0,0.0,248,1.7544,0.0183,2.3769,0.0301,-0.6225,0.0385
1.0,1.0,223,0.9364,0.001,2.3739,0.0298,-1.4376,0.0299
1.0,2.0,248,0.9363,0.001,2.3942,0.0308,-1.4578,0.0309
1.0,3.0,227,1.7546,0.0187,2.3907,0.0302,-0.6361,0.0408
2.0,0.0,240,2.4769,0.0268,2.4283,0.0254,0.0486,0.0418
2.0,1.0,216,0.7473,0.0007,2.4268,0.0267,-1.6795,0.0267
2.0,2.0,235,0.7473,0.0007,0.8572,0.0012,-0.1099,0.0014
2.0,3.0,240,2.4749,0.0277,0.8571,0.0011,1.6178,0.0278
3.0,0.0,225,2.5574,0.0286,2.5009,0.028,0.0565,0.0463
3.0,1.0,221,0.99,0.0011,2.5,0.025,-1.51,0.0251
3.0,2.0,227,0.99,0.0011,1.144,0.0019,-0.154,0.0023
3.0,3.0,251,2.5592,0.0247,1.1442,0.0022,1.415,0.0247
4.0,0.0,237,3.69,0.0243,3.6968,0.0259,-0.0068,0.038
4.0,1.0,241,0.9076,0.001,3.6965,0.0242,-2.7889,0.0242
4.0,2.0,224,0.9076,0.0009,1.1769,0.0022,-0.2693,0.0024
4.0,3.0,236,3.6955,0.0263,1.1771,0.0022,2.5184,0.0263
5.0,0.0,251,2.6537,0.0257,1.4376,0.0016,1.2161,0.0257
5.0,1.0,227,1.678,0.0032,1.4376,0.0017,0.2404,0.0038
5.0,2.0,230,1.6786,0.0036,2.6716,0.0286,-0.9929,0.0288
5.0,3.0,243,2.6547,0.0274,2.6726,0.0268,-0.0179,0.0441
6.0,0.0,225,3.2266,0.026,3.2544,0.0254,-0.0278,0.0399
6.0,1.0,223,1.7658,0.0024,3.2531,0.0239,-1.4874,0.0243
6.0,2.0,267,1.7658,0.0023,2.1051,0.0073,-0.3393,0.0076
6.0,3.0,237,3.226,0.0248,2.1051,0.0077,1.1209,0.0266
7.0,0.0,236,1.9937,0.0248,2.3263,0.0317,-0.3326,0.0469
7.0,1.0,231,1.6163,0.0197,2.3243,0.031,-0.708,0.0413
7.0,2.0,240,1.6179,0.0193,2.135,0.0271,-0.5171,0.0371
7.0,3.0,244,1.9944,0.025,2.1352,0.0292,-0.1408,0.0433
8.0,0.0,218,1.4099,0.0276,2.0803,0.0338,-0.6704,0.0497
8.0,1.0,236,0.6367,0.0005,2.085,0.0341,-1.4483,0.0341
8.0,2.0,233,0.6366,0.0006,2.0227,0.0327,-1.3861,0.0327
8.0,3.0,235,1.4078,0.0242,2.0233,0.0335,-0.6155,0.0474
9.0,0.0,230,3.5286,0.0239,3.6763,0.0264,-0.1477,0.0362
9.0,1.0,232,1.2964,0.0018,3.6768,0.0268,-2.3804,0.0268
9.0,2.0,252,1.2962,0.0018,3.1575,0.0233,-1.8614,0.0237
9.0,3.0,235,3.5301,0.0223,3.1575,0.0222,0.3726,0.0358
10.0,0.0,261,1.9931,0.0298,1.9813,0.0288,0.0118,0.0492
10.0,1.0,234,0.6915,0.0007,1.9776,0.0294,-1.286,0.0294
10.0,2.0,218,0.6915,0.0007,0.892,0.0015,-0.2005,0.0017
10.0,3.0,231,1.9911,0.0309,0.8918,0.0016,1.0993,0.031
11.0,0.0,230,0.8727,0.0067,2.03,0.0356,-1.1572,0.0369
11.0,1.0,213,0.6625,0.0007,2.026,0.0325,-1.3634,0.0326
11.0,2.0,229,0.6625,0.0007,1.8128,0.0321,-1.1503,0.0321
11.0,3.0,214,0.8723,0.0068,1.8112,0.0357,-0.9389,0.0379
12.0,0.0,240,0.8983,0.0058,1.7017,0.0298,-0.8035,0.0316
12.0,1.0,237,0.8109,0.0007,1.6989,0.0305,-0.888,0.0307
12.0,2.0,216,0.8108,0.0007,2.1524,0.0357,-1.3415,0.0357
12.0,3.0,237,0.8988,0.006,2.1557,0.033,-1.2568,0.0339
