,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,1.0,-0.6263227500188052,-0.7274097166725778,-0.03886028816812863,-0.6560752793431741,-0.38365387526344663,0.2723887600233734,0.7762191980250932,-0.038860288168128664,-0.03886028816812863
db2,-0.6263227500188051,1.0,0.867657744480754,0.022809252825616605,-0.008045151731531343,0.14173846619048025,-0.14173300375682388,-0.04491208673359051,0.02280925282561662,0.022809252825616605
sp,-0.7274097166725778,0.8676577444807541,1.0,0.015854700598594135,0.39818337229844225,-0.17370741836738188,0.2291123035157865,-0.3141136988817795,0.015854700598594135,0.015854700598594135
base_v,-0.03886028816812863,0.0228092528256166,0.015854700598594132,1.0,0.02313970413192495,0.03571340978247496,-0.03202330317783731,-0.03530984321195815,1.0,1.0
choice_probs[0],-0.6560752793431741,-0.008045151731531345,0.3981833722984423,0.023139704131924947,1.0,-0.10383649087200333,0.26022689964898643,-0.9224055898335393,0.023139704131924968,0.023139704131924947
choice_probs[1],-0.3836538752634466,0.14173846619048025,-0.17370741836738188,0.03571340978247497,-0.10383649087200333,1.0,-0.9860259971309638,-0.28670253692175707,0.03571340978247495,0.03571340978247497
choice_probs[2],0.2723887600233735,-0.14173300375682388,0.2291123035157865,-0.03202330317783732,0.26022689964898643,-0.9860259971309637,0.9999999999999998,0.12895178199776458,-0.03202330317783734,-0.03202330317783732
choice_probs[3],0.7762191980250932,-0.04491208673359051,-0.31411369888177954,-0.03530984321195815,-0.9224055898335394,-0.28670253692175707,0.12895178199776458,1.0,-0.03530984321195812,-0.03530984321195815
rt_alpha,-0.038860288168128664,0.022809252825616615,0.015854700598594132,1.0,0.023139704131924968,0.035713409782474954,-0.03202330317783734,-0.03530984321195812,1.0,1.0
rt_beta,-0.03886028816812863,0.0228092528256166,0.015854700598594132,1.0,0.02313970413192495,0.03571340978247496,-0.03202330317783731,-0.03530984321195815,1.0,1.0
