,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.0013271479800443908,0.00112181778133225,0.0013790013931187317,-0.00011600730237175452,-2.1811942554963453e-05,-0.00031401947866393153,0.00022775818718592464,0.00010807323403297039,-0.00011600730237175445,-0.00011600730237175452
db2,0.00112181778133225,0.0017524998041218954,0.0016880268313023423,-9.06183432914794e-05,-7.389419971510253e-06,3.985870700652848e-05,-3.773420353957383e-05,5.2649165045557e-06,-9.061834329147884e-05,-9.06183432914794e-05
sp,0.0013790013931187317,0.0016880268313023423,0.002062357375988312,-8.576469385030042e-05,0.00011121574973558241,-7.49490206611606e-05,0.00019406801723213273,-0.00023033474630655449,-8.57646938503002e-05,-8.576469385030042e-05
base_v,-0.00011600730237175452,-9.06183432914794e-05,-8.576469385030042e-05,0.0041912389601328195,1.1891244250663898e-05,2.6366173354242258e-05,-1.1445158355663253e-05,-2.6812259249242936e-05,0.004191238960132821,0.0041912389601328195
choice_probs[0],-2.1811942554963453e-05,-7.389419971510253e-06,0.00011121574973558241,1.1891244250663898e-05,5.7744357407665165e-05,3.349495835161171e-05,4.125707010913692e-05,-0.0001324963858684138,1.189124425066388e-05,1.1891244250663898e-05
choice_probs[1],-0.00031401947866393153,3.985870700652848e-05,-7.49490206611606e-05,2.6366173354242258e-05,3.349495835161171e-05,0.0002078496739619739,-0.00012556011216137858,-0.0001157845201522069,2.6366173354242285e-05,2.6366173354242258e-05
choice_probs[2],0.00022775818718592464,-3.773420353957383e-05,0.00019406801723213273,-1.1445158355663253e-05,4.125707010913692e-05,-0.00012556011216137858,0.00014906153597165427,-6.475849391941256e-05,-1.1445158355663273e-05,-1.1445158355663253e-05
choice_probs[3],0.00010807323403297039,5.2649165045557e-06,-0.00023033474630655449,-2.6812259249242936e-05,-0.0001324963858684138,-0.0001157845201522069,-6.475849391941256e-05,0.0003130393999400334,-2.681225924924286e-05,-2.6812259249242936e-05
rt_alpha,-0.00011600730237175445,-9.061834329147884e-05,-8.57646938503002e-05,0.004191238960132821,1.189124425066388e-05,2.6366173354242285e-05,-1.1445158355663273e-05,-2.681225924924286e-05,0.0041912389601328195,0.00419123896013282
rt_beta,-0.00011600730237175452,-9.06183432914794e-05,-8.576469385030042e-05,0.0041912389601328195,1.1891244250663898e-05,2.6366173354242258e-05,-1.1445158355663253e-05,-2.6812259249242936e-05,0.00419123896013282,0.00419123896013282
