,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.006057586912286566,-0.0024537227162948812,0.017470371796187503,-0.0009343704452389086,-0.00029082646782952024,-0.00026805993357541995,0.0003147499365552511,0.00024413646484968866,-0.0009343704452389064,-0.0009343704452389086
db2,-0.0024537227162948812,0.0029592264530846728,-0.009506123090465467,0.0003404219752027599,-0.00027101444761872977,0.0002252779216394665,-0.00031463897659119095,0.00036037550257045364,0.00034042197520276006,0.0003404219752027599
sp,0.017470371796187503,-0.009506123090465467,0.06821494874779115,-0.0026926093914481745,0.00016240414044403707,5.005218870016004e-05,-2.621760368322071e-05,-0.00018623872546097471,-0.002692609391448174,-0.0026926093914481745
base_v,-0.0009343704452389086,0.0003404219752027599,-0.0026926093914481745,0.007351194519136566,5.716729060587031e-05,6.217343564132384e-05,-7.17031674264824e-05,-4.763755882071152e-05,0.007351194519136569,0.007351194519136566
choice_probs[0],-0.00029082646782952024,-0.00027101444761872977,0.00016240414044403707,5.716729060587031e-05,0.0001315096660658641,3.19004165923222e-05,-2.6226024965270468e-05,-0.00013718405769291554,5.7167290605870073e-05,5.716729060587031e-05
choice_probs[1],-0.00026805993357541995,0.0002252779216394665,5.005218870016004e-05,6.217343564132384e-05,3.19004165923222e-05,9.337682354918656e-05,-0.00011502260867534512,-1.0254631466163434e-05,6.217343564132392e-05,6.217343564132384e-05
choice_probs[2],0.0003147499365552511,-0.00031463897659119095,-2.621760368322071e-05,-7.17031674264824e-05,-2.6226024965270468e-05,-0.00011502260867534512,0.0001434023073839573,-2.1536737433419014e-06,-7.170316742648258e-05,-7.17031674264824e-05
choice_probs[3],0.00024413646484968866,0.00036037550257045364,-0.00018623872546097471,-4.763755882071152e-05,-0.00013718405769291554,-1.0254631466163434e-05,-2.1536737433419014e-06,0.00014959236290242075,-4.7637558820711295e-05,-4.763755882071152e-05
rt_alpha,-0.0009343704452389064,0.00034042197520276006,-0.002692609391448174,0.007351194519136569,5.7167290605870073e-05,6.217343564132392e-05,-7.170316742648258e-05,-4.7637558820711295e-05,0.007351194519136567,0.007351194519136566
rt_beta,-0.0009343704452389086,0.0003404219752027599,-0.0026926093914481745,0.007351194519136566,5.716729060587031e-05,6.217343564132384e-05,-7.17031674264824e-05,-4.763755882071152e-05,0.007351194519136566,0.007351194519136567
