,db1,db2,sp,base_v,choice_probs[0],choice_probs[1],choice_probs[2],choice_probs[3],rt_alpha,rt_beta
db1,0.9999999999999999,0.008051938582645074,0.01526865385993795,-0.011163315209949003,-0.7038610251522293,-0.6028422502891327,0.7067103395295694,0.6150166728731632,-0.01116331520994903,-0.011163315209949003
db2,0.008051938582645074,1.0,-0.6905509492849281,0.04611841014603124,-0.1613803354725136,0.23124510614605054,-0.2033085084731025,0.18972634408704298,0.046118410146031276,0.04611841014603124
sp,0.015268653859937953,-0.6905509492849281,0.9999999999999999,-0.03687801401134578,-0.33933423186465805,0.32611765282126054,-0.27189160656897915,0.3808718009255668,-0.03687801401134577,-0.03687801401134578
base_v,-0.011163315209949001,0.04611841014603124,-0.03687801401134578,0.9999999999999999,0.0040871159583738105,-0.0007402921401557369,-0.0007419317081511328,-0.003201854728279419,1.0,0.9999999999999999
choice_probs[0],-0.7038610251522293,-0.16138033547251357,-0.33933423186465805,0.0040871159583738105,1.0,-0.04796361383162265,-0.11294665119878775,-0.9894029239859182,0.004087115958373831,0.0040871159583738105
choice_probs[1],-0.6028422502891327,0.23124510614605054,0.3261176528212606,-0.000740292140155737,-0.04796361383162265,1.0,-0.9861375439841102,0.18457431862133863,-0.0007402921401557379,-0.000740292140155737
choice_probs[2],0.7067103395295693,-0.2033085084731025,-0.2718916065689791,-0.0007419317081511327,-0.11294665119878775,-0.9861375439841102,1.0,-0.026528519673049488,-0.0007419317081511366,-0.0007419317081511327
choice_probs[3],0.6150166728731631,0.18972634408704298,0.3808718009255668,-0.003201854728279419,-0.9894029239859182,0.18457431862133863,-0.02652851967304949,1.0,-0.003201854728279455,-0.003201854728279419
rt_alpha,-0.01116331520994903,0.046118410146031276,-0.03687801401134578,1.0,0.0040871159583738305,-0.0007402921401557379,-0.0007419317081511365,-0.003201854728279455,1.0,1.0
rt_beta,-0.011163315209949001,0.04611841014603124,-0.03687801401134578,0.9999999999999999,0.0040871159583738105,-0.0007402921401557369,-0.0007419317081511328,-0.003201854728279419,1.0,0.9999999999999999
